timestep,reward
640,47.125
455808,50.75
911089,33.45
1364469,54.525
1812888,61.25
2267767,53.975
2718999,34.525
3170336,52.95
3624046,49.2
4070293,54.175
4520358,61.525
4977419,54.75
5428586,49.15
5880398,47.375
6336011,51.725
6791739,46.7
7239761,46.075
7693715,52.375
8139050,47.85
8597136,55.225
9049614,60.45
9500139,52.725
9952917,57.2
10405489,53.4
10856949,54.875
11313798,47.425
11765717,45.75
12220054,51.625
12674575,63.275
13127509,43.025
13583688,54.425
14036874,49.3
14490639,57.75
14937372,59.175
15388422,57.175
15836189,60.6
16289440,58.925
16743711,59.475
17199536,58.925
17659461,58.775
18117681,58.875
18575053,58.425
19030047,58.2
19486730,60.25
19942326,58.075
20404412,59.6
20865269,60.3
21321440,57.75
21773431,58.85
22229093,56.65
22687549,57.75
23147464,56.175
23603657,59.8
24058852,59.525
24512698,52.6
24975533,55.7
25425870,61.675
25876944,64.65
26328172,55.925
26776564,46.825
27229257,53.9
27687906,61.95
28142009,61.05
28596328,59.95
29053238,57.825
29506043,59.625
29966363,60.7
30431683,57.8
30887641,57.7
31346381,59.375
31799728,58.65
32250992,57.9
32708303,57.85
33164979,57.55
33621948,61.1
34079963,59.775
34544972,57.875
34997424,57.475
35453938,58.15
35903601,60.15
36349807,55.325
36807033,60.6
37257773,61.0
37712511,57.675
38164820,55.95
38619610,49.575
39076993,46.025
39533357,57.375
39987056,56.975
40439438,58.025
40896326,60.875
41355931,57.45
41808441,59.775
42269659,57.05
42725870,60.175
43175126,62.675
43630784,58.8
44089837,57.575
44542723,56.8
44993319,63.575
